Title,Authors,Publication Year,DOI,DB,Población estudiada,Método de DL usado,"Datos emocionales usados (facial, voz, texto)",Emociones descritas,Técnicas de IA utilizadas,Base de datos,Árbol de emociones,Resultados principales,Limitaciones,Estado
"""motherese"" prosody in fetal-directed speech: an exploratory study using automatic social signal processing","Parlato-Oliveira E, Saint-Georges C, Cohen D, Pellerin H, Pereira IM, Fouillet C, Chetouani M, Dommergues M, Viaux-Savelon S.",2021,10.3389/fpsyg.2021.646170,PubMed,,,,,,,,,,
"""puberty age gap"": new method of assessing pubertal timing and its association with mental health problems","Dehestani N, Vijayakumar N, Ball G, Mansour L S, Whittle S, Silk TJ.",2024,10.1038/s41380-023-02316-4,PubMed,,,,,,,,,,
25th annual computational neuroscience meeting: cns-2016,"Sharpee TO, Destexhe A, Kawato M, Sekulić V, Skinner FK, Wójcik DK, Chintaluri C, Cserpán D, Somogyvári Z, Kim JK, Kilpatrick ZP, Bennett MR, Josić K, Elices I, Arroyo D, Levi R, Rodriguez FB, Varona P, Hwang E, Kim B, Han HB, Kim T, McKenna JT, Brown RE, McCarley RW, Choi JH, Rankin J, Popp PO, Rinzel J, Tabas A, Rupp A, Balaguer-Ballester E, Maturana MI, Grayden DB, Cloherty SL, Kameneva T, Ibbotson MR, Meffin H, Koren V, Lochmann T, Dragoi V, Obermayer K, Psarrou M, Schilstra M, Davey N, Torben-Nielsen B, Steuber V, Ju H, Yu J, Hines ML, Chen L, Yu Y, Kim J, Leahy W, Shlizerman E, Birgiolas J, Gerkin RC, Crook SM, Viriyopase A, Memmesheimer RM, Gielen S, Dabaghian Y, DeVito J, Perotti L, Kim AJ, Fenk LM, Cheng C, Maimon G, Zhao C, Widmer Y, Sprecher S, Senn W, Halnes G, Mäki-Marttunen T, Keller D, Pettersen KH, Andreassen OA, Einevoll GT, Yamada Y, Steyn-Ross ML, Alistair Steyn-Ross D, Mejias JF, Murray JD, Kennedy H, Wang XJ, Kruscha A, Grewe J, Benda J, Lindner B, Badel L, Ohta K, Tsuchimoto Y, Kazama H, Kahng B, Tam ND, Pollonini L, Zouridakis G, Soh J, Kim D, Yoo M, et al.",2016,10.1186/s12868-016-0283-6,PubMed,"Humano (72 personas con esquizofrenia y 74 controles sanos), animales (ratones y primates) o no especifica",,,,,,No,,,"Excluido, recopilacion de resumenes de presentaciones en un congreso. No hay muchos datos concretos"
a 50-state survey study of thoughts of suicide and social isolation among older adults in the united states,"Solomonov N, Green J, Quintana A, Lin J, Ognyanova K, Santillana M, Druckman JN, Baum MA, Lazer D, Gunning FM, Perlis RH.",2023,10.1016/j.jad.2023.04.038,PubMed,,,,,,,,,,
a better approach to in vivo developmental neurotoxicity assessment: alignment of rodent testing with effects seen in children after neurotoxic exposures,"Vorhees CV, Sprowles JN, Regan SL, Williams MT.",2018,10.1016/j.taap.2018.03.012,PubMed,,,,,,,,,,
a bibliometric analysis of autism spectrum disorder signaling pathways research in the past decade,"Lyu K, Li J, Chen M, Li W, Zhang W, Hu M, Zhang Y, Feng X.",2024,10.3389/fpsyt.2024.1304916,PubMed,,,,,,,,,,
a book interaction scheme to enhance children's reading experiences and preferences,"Zhang M, Hou G, Chen YC, Zhang T, Yang J.",2020,10.3389/fpsyg.2020.02155,PubMed,,,,,,,,,,
a combined effect of polygenic scores and environmental factors on individual differences in depression level,"Kazantseva A, Davydova Y, Enikeeva R, Mustafin R, Malykh S, Lobaskova M, Kanapin A, Prokopenko I, Khusnutdinova E.",2023,10.3390/genes14071355,PubMed,,,,,,,,,,
a comparison of the efficacy of weight-shift vs. joystick control of a robotic mobility device by infants ages 5 to 10 months,"Stansfield S, Dennis C, Altman R, Smith J, Larin H.",2018,10.1080/10400435.2016.1262479,PubMed,,,,,,,,,,
a concept for emotion recognition systems for children with profound intellectual and multiple disabilities based on artificial intelligence using physiological and motion signals,"Tanabe H, Shiraishi T, Sato H, Nihei M, Inoue T, Kuwabara C.",2024,10.1080/17483107.2023.2170478,PubMed,,,,,,,,,,
a framework for user adaptation and profiling for social robotics in rehabilitation,"Martín A, Pulido JC, González JC, García-Olaya Á, Suárez C.",2020,10.3390/s20174792,PubMed,,,,,,,,,,
a machine learning algorithm-based model for predicting the risk of non-suicidal self-injury among adolescents in western china: a multicentre cross-sectional study,"Zhong Y, He J, Luo J, Zhao J, Cen Y, Song Y, Wu Y, Lin C, Pan L, Luo J.",2024,10.1016/j.jad.2023.10.110,PubMed,,,,,,,,,,
a machine learning approach to the diagnosis of autism spectrum disorder and multi-systemic developmental disorder based on retrospective data and ados-2 score,"Briguglio M, Turriziani L, Currò A, Gagliano A, Di Rosa G, Caccamo D, Tonacci A, Gangemi S.",2023,10.3390/brainsci13060883,PubMed,,,,,,,,,,
a machine learning model based on chat-23 for early screening of autism in chinese children,"Lu H, Zhang H, Zhong Y, Meng XY, Zhang MF, Qiu T.",2024,10.3389/fped.2024.1400110,PubMed,,,,,,,,,,
a machine-learning approach to model risk and protective factors of vulnerability to depression,"Liu JM, Gao M, Zhang R, Wong NML, Wu J, Chan CCH, Lee TMC.",2024,10.1016/j.jpsychires.2024.04.048,PubMed,,,,,,,,,,
"a meta-analysis of fmri studies of youth cannabis use: alterations in executive control, social cognition/emotion processing, and reward processing in cannabis using youth","Hammond CJ, Allick A, Park G, Rizwan B, Kim K, Lebo R, Nanavati J, Parvaz MA, Ivanov I.",2022,10.3390/brainsci12101281,PubMed,,,,,,,,,,
a multi-modal convolutional neural network model for intelligent analysis of the influence of music genres on children's emotions,"Qian Q, Chen X.",2022,10.1155/2022/4957085,PubMed,Niños,"propone un modelo de red neuronal convolucional multimodal basado en transformadores. redes neuronales BiLSTM y BERT para extraer características de información de video, audio y texto, y también incluye un módulo de fusión de características de información multimodal basado en el modelo de red transformadora","video, audio y texto","tristeza, emociones normales y optimismo","DL, redes neuronales","conjuntos de datos CMU-MOSI y CMU-MOSE, que contienen clips de vídeo, clips de audio y clips de texto correspondientes de YouTube.",No,"1. El modelo de red neuronal convolucional multimodal basado en transformador propuesto fusiona efectivamente características de video, audio y texto para analizar la influencia de los géneros musicales en las emociones de los niños, superando otros métodos en precisión de predicción y mejorando la precisión de las tareas de clasificación de sentimientos. 
2. El estudio demuestra que el modelo de clasificación de sentimientos logra una mayor precisión y el grado de correlación de las características multimodales muestra una cierta conexión entre el video, el audio y las características del texto correspondiente  p. 6  
3. La investigación indica que la precisión de la predicción del modelo se ve afectada por las características de video y texto, y alinear estas características dentro de un cierto rango puede mejorar significativamente la precisión del modelo  p. 6  
4. El estudio amplía el conjunto de datos de clasificación de sentimientos y recopila continuamente nuevos datos para mejorar la capacidad del modelo de red para aprender y discriminar  p. 7  5. 
5. Se ha demostrado experimentalmente que el modelo propuesto clasifica diferentes tipos de características, incluidos video, audio, texto y ruido aleatorio, y clasifica géneros musicales en 10 categorías  p. 7  . ",-,
a multicenter retrospective study of antidepressant use in outpatient clinics in china pre- and post-covid,"Zhao M, Chang L, Yu J, Wang J, Song Y, Su S, Chen C, Lun Y, Cheng F, Zhao Y, Zhou C.",2024,10.1007/s11096-024-01776-0,PubMed,,,,,,,,,,
a multicohort geometric deep learning study of age dependent cortical and subcortical morphologic interactions for fluid intelligence prediction,"Wu Y, Besson P, Azcona EA, Bandt SK, Parrish TB, Breiter HC, Katsaggelos AK.",2022,10.1038/s41598-022-22313-x,PubMed,,,,,,,,,,
a multimodal convolutional neural network model for the analysis of music genre on children's emotions influence intelligence,"Chen W, Wu G.",2022,10.1155/2022/5611456,PubMed,Niños,red neuronal convolucional (CNN) multimodal,"señales de EEG y datos de movimientos oculares, además los espectrogramas de potencia de audio obtenidos mediante extracción de características se utilizan para la clasificación de géneros musicales. ",las emociones que se están midiendo no se mencionan explícitamente,"DL, redes neuronales","conjunto de datos Million Song Dataset (MSD) para preentrenar la red Dense Inception. Además, se utilizan el conjunto de datos GTZAN y el conjunto de datos ISMIR2004 para entrenar el modelo. ",No,"Desarrollo de un modelo de red neuronal convolucional multimodal para analizar la influencia de los géneros musicales en las emociones de los niños. 
El estudio demuestra que la señal multimodal, que combina señales de EEG y movimientos oculares, logra una mayor precisión en la clasificación de emociones en comparación con las señales unimodales, alcanzando una precisión promedio del 97.94% para la clasificación cuádruple de emociones basada en una señal de EEG de 6 canales y la señal multimodal de los niños. 
Además, el estudio muestra que el preentrenamiento del modelo con el conjunto de datos Million Song Dataset (MSD) mejora significativamente su efectividad, con una precisión de la red Dense Inception alcanzando el 91.0% y el 89.91% en los conjuntos de datos GTZAN e ISMIR2004, respectivamente p. 6",-,
"a murdered teen, two million tweets and an experiment to fight gun violence",McCullom R.,2018,10.1038/d41586-018-06169-8,PubMed,,,,,,,,,,
a neuroimaging-based precision medicine framework for depression,"Xiao Y, Womer FY, Dong S, Zhu R, Zhang R, Yang J, Zhang L, Liu J, Zhang W, Liu Z, Zhang X, Wang F.",2024,10.1016/j.ajp.2023.103803,PubMed,,,,,,,,,,
a new artificial intelligence-based clinical decision support system for diagnosis of major psychiatric diseases based on voice analysis,"Cansel N, Faruk Alcin Ö, Furkan Yılmaz Ö, Ari A, Akan M, Ucuz İ.",2023,10.24869/psyd.2023.489,PubMed,,,,,,,,,,
a novel approach to adhd classification based on severity and emotional impairment: findings from artificial intelligence analysis,"Pascual Zapatero I, Sánchez Cristóbal P, Jurado Barba R.",2024,10.1080/21622965.2024.2419493,PubMed,,,,,,,,,,
a novel biomarker of compensatory recruitment of face emotional imagery networks in autism spectrum disorder,"Simões M, Monteiro R, Andrade J, Mouga S, França F, Oliveira G, Carvalho P, Castelo-Branco M.",2018,10.3389/fnins.2018.00791,PubMed,,,,,,,,,,
a novel machine learning analysis of eye-tracking data reveals suboptimal visual information extraction from facial stimuli in individuals with autism,"Król ME, Król M.",2019,10.1016/j.neuropsychologia.2019.04.022,PubMed,,,,,,,,,,
a novel methodology for emotion recognition through 62-lead eeg signals: multilevel heterogeneous recurrence analysis,"Wang Y, Chen CB, Imamura T, Tapia IE, Somers VK, Zee PC, Lim DC.",2024,10.3389/fphys.2024.1425582,PubMed,,,,,,,,,,
a novel pipeline leveraging surface-based features of small subcortical structures to classify individuals with autism spectrum disorder,"Fu Y, Zhang J, Li Y, Shi J, Zou Y, Guo H, Li Y, Yao Z, Wang Y, Hu B.",2021,10.1016/j.pnpbp.2020.109989,PubMed,,,,,,,,,,
"a novel, complex systems approach to modelling risk of psychological distress in young adolescents","Beaudequin D, Schwenn P, McLoughlin LT, Parker M, Boyes A, Simcock G, Lagopoulos J, Hermens DF.",2021,10.1038/s41598-021-88932-y,PubMed,,,,,,,,,,
"a placebo prognostic index (pi) as a moderator of outcomes in the treatment of adolescent depression: could it inform risk-stratification in treatment with cognitive-behavioral therapy, fluoxetine, or their combination?","Lorenzo-Luaces L, Rodriguez-Quintana N, Riley TN, Weisz JR.",2021,10.1080/10503307.2020.1747657,PubMed,,,,,,,,,,
a proof-of-concept study applying machine learning methods to putative risk factors for eating disorders: results from the multi-centre european project on healthy eating,"Krug I, Linardon J, Greenwood C, Youssef G, Treasure J, Fernandez-Aranda F, Karwautz A, Wagner G, Collier D, Anderluh M, Tchanturia K, Ricca V, Sorbi S, Nacmias B, Bellodi L, Fuller-Tyszkiewicz M.",2023,10.1017/S003329172100489X,PubMed,,,,,,,,,,
