PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
33380334,Stress detection using deep neural networks,"Li R, Liu Z.",BMC Med Inform Decis Mak. 2020 Dec 30;20(Suppl 11):285. doi: 10.1186/s12911-020-01299-4.,Li R,BMC Med Inform Decis Mak,2020,2020/12/31,PMC7772901,,10.1186/s12911-020-01299-4
37628493,DS-CNN: Deep Convolutional Neural Networks for Facial Emotion Detection in Children with Down Syndrome during Dolphin-Assisted Therapy,"Moreno Escobar JJ, Morales Matamoros O, Aguilar Del Villar EY, Quintana Espinosa H, Chanona Hernández L.",Healthcare (Basel). 2023 Aug 14;11(16):2295. doi: 10.3390/healthcare11162295.,Moreno Escobar JJ,Healthcare (Basel),2023,2023/08/26,PMC10454875,,10.3390/healthcare11162295
27534393,25th Annual Computational Neuroscience Meeting: CNS-2016,"Sharpee TO, Destexhe A, Kawato M, Sekulić V, Skinner FK, Wójcik DK, Chintaluri C, Cserpán D, Somogyvári Z, Kim JK, Kilpatrick ZP, Bennett MR, Josić K, Elices I, Arroyo D, Levi R, Rodriguez FB, Varona P, Hwang E, Kim B, Han HB, Kim T, McKenna JT, Brown RE, McCarley RW, Choi JH, Rankin J, Popp PO, Rinzel J, Tabas A, Rupp A, Balaguer-Ballester E, Maturana MI, Grayden DB, Cloherty SL, Kameneva T, Ibbotson MR, Meffin H, Koren V, Lochmann T, Dragoi V, Obermayer K, Psarrou M, Schilstra M, Davey N, Torben-Nielsen B, Steuber V, Ju H, Yu J, Hines ML, Chen L, Yu Y, Kim J, Leahy W, Shlizerman E, Birgiolas J, Gerkin RC, Crook SM, Viriyopase A, Memmesheimer RM, Gielen S, Dabaghian Y, DeVito J, Perotti L, Kim AJ, Fenk LM, Cheng C, Maimon G, Zhao C, Widmer Y, Sprecher S, Senn W, Halnes G, Mäki-Marttunen T, Keller D, Pettersen KH, Andreassen OA, Einevoll GT, Yamada Y, Steyn-Ross ML, Alistair Steyn-Ross D, Mejias JF, Murray JD, Kennedy H, Wang XJ, Kruscha A, Grewe J, Benda J, Lindner B, Badel L, Ohta K, Tsuchimoto Y, Kazama H, Kahng B, Tam ND, Pollonini L, Zouridakis G, Soh J, Kim D, Yoo M, et al.",BMC Neurosci. 2016 Aug 18;17 Suppl 1(Suppl 1):54. doi: 10.1186/s12868-016-0283-6.,Sharpee TO,BMC Neurosci,2016,2016/08/19,PMC5001212,,10.1186/s12868-016-0283-6
36298415,Kids' Emotion Recognition Using Various Deep-Learning Models with Explainable AI,"Rathod M, Dalvi C, Kaur K, Patil S, Gite S, Kamat P, Kotecha K, Abraham A, Gabralla LA.",Sensors (Basel). 2022 Oct 21;22(20):8066. doi: 10.3390/s22208066.,Rathod M,Sensors (Basel),2022,2022/10/27,PMC9607169,,10.3390/s22208066
34105405,Deep learning techniques for automated detection of autism spectrum disorder based on thermal imaging,"Ganesh K, Umapathy S, Thanaraj Krishnan P.",Proc Inst Mech Eng H. 2021 Oct;235(10):1113-1127. doi: 10.1177/09544119211024778. Epub 2021 Jun 9.,Ganesh K,Proc Inst Mech Eng H,2021,2021/06/09,,,10.1177/09544119211024778
33074102,"On the objectivity, reliability, and validity of deep learning enabled bioimage analyses","Segebarth D, Griebel M, Stein N, von Collenberg CR, Martin C, Fiedler D, Comeras LB, Sah A, Schoeffler V, Lüffe T, Dürr A, Gupta R, Sasi M, Lillesaar C, Lange MD, Tasan RO, Singewald N, Pape HC, Flath CM, Blum R.",Elife. 2020 Oct 19;9:e59780. doi: 10.7554/eLife.59780.,Segebarth D,Elife,2020,2020/10/19,PMC7710359,,10.7554/eLife.59780
34469328,Emotional Analysis of Twitter Posts During the First Phase of the COVID-19 Pandemic in Greece: Infoveillance Study,"Geronikolou S, Drosatos G, Chrousos G.",JMIR Form Res. 2021 Sep 29;5(9):e27741. doi: 10.2196/27741.,Geronikolou S,JMIR Form Res,2021,2021/09/01,PMC8483272,,10.2196/27741
36200082,Effect of Reading Activities on Children's Mental Health under the Environment of Artificial Intelligence and Deep Learning,Yang M.,J Environ Public Health. 2022 Sep 25;2022:1762767. doi: 10.1155/2022/1762767. eCollection 2022.,Yang M,J Environ Public Health,2022,2022/10/06,PMC9527404,,10.1155/2022/1762767
37870890,"Objectively Quantifying Pediatric Psychiatric Severity Using Artificial Intelligence, Voice Recognition Technology, and Universal Emotions: Pilot Study for Artificial Intelligence-Enabled Innovation to Address Youth Mental Health Crisis","Caulley D, Alemu Y, Burson S, Cárdenas Bautista E, Abebe Tadesse G, Kottmyer C, Aeschbach L, Cheungvivatpant B, Sezgin E.",JMIR Res Protoc. 2023 Oct 23;12:e51912. doi: 10.2196/51912.,Caulley D,JMIR Res Protoc,2023,2023/10/23,PMC10628686,,10.2196/51912
38319707,Capacity of Generative AI to Interpret Human Emotions From Visual and Textual Data: Pilot Evaluation Study,"Elyoseph Z, Refoua E, Asraf K, Lvovsky M, Shimoni Y, Hadar-Shoval D.",JMIR Ment Health. 2024 Feb 6;11:e54369. doi: 10.2196/54369.,Elyoseph Z,JMIR Ment Health,2024,2024/02/06,PMC10879976,,10.2196/54369
34543203,A 10.13µJ/Classification 2-Channel Deep Neural Network Based SoC for Negative Emotion Outburst Detection of Autistic Children,"Aslam AR, Altaf MAB.",IEEE Trans Biomed Circuits Syst. 2021 Oct;15(5):1039-1052. doi: 10.1109/TBCAS.2021.3113613. Epub 2021 Dec 9.,Aslam AR,IEEE Trans Biomed Circuits Syst,2021,2021/09/20,,,10.1109/TBCAS.2021.3113613
33518264,"Emerging Evidence for Putative Neural Networks and Antecedents of Pediatric Anxiety in the Fetal, Neonatal, and Infant Periods","Doyle CM, Lasch C, Elison JT.",Biol Psychiatry. 2021 Apr 1;89(7):672-680. doi: 10.1016/j.biopsych.2020.11.020. Epub 2020 Nov 28.,Doyle CM,Biol Psychiatry,2021,2021/02/01,PMC8087150,NIHMS1693035,10.1016/j.biopsych.2020.11.020
36072733,A Multimodal Convolutional Neural Network Model for the Analysis of Music Genre on Children's Emotions Influence Intelligence,"Chen W, Wu G.",Comput Intell Neurosci. 2022 Aug 29;2022:5611456. doi: 10.1155/2022/5611456. eCollection 2022.,Chen W,Comput Intell Neurosci,2022,2022/09/08,PMC9444378,,10.1155/2022/5611456
36806017,Coding infant engagement in the Face-to-Face Still-Face paradigm using deep neural networks,"Faltyn M, Krzeczkowski JE, Cummings M, Anwar S, Zeng T, Zahid I, Ntow KO, Van Lieshout RJ.",Infant Behav Dev. 2023 May;71:101827. doi: 10.1016/j.infbeh.2023.101827. Epub 2023 Feb 17.,Faltyn M,Infant Behav Dev,2023,2023/02/22,,,10.1016/j.infbeh.2023.101827
36081739,Research on Mental Health Monitoring Scheme of Migrant Children Based on Convolutional Neural Network Based on Deep Learning,Yang G.,Occup Ther Int. 2022 Aug 23;2022:2210820. doi: 10.1155/2022/2210820. eCollection 2022.,Yang G,Occup Ther Int,2022,2022/09/09,PMC9427310,,10.1155/2022/2210820
33866302,Combining a parallel 2D CNN with a self-attention Dilated Residual Network for CTC-based discrete speech emotion recognition,"Zhao Z, Li Q, Zhang Z, Cummins N, Wang H, Tao J, W Schuller B.",Neural Netw. 2021 Sep;141:52-60. doi: 10.1016/j.neunet.2021.03.013. Epub 2021 Mar 23.,Zhao Z,Neural Netw,2021,2021/04/18,,,10.1016/j.neunet.2021.03.013
35909819,A Multi-Modal Convolutional Neural Network Model for Intelligent Analysis of the Influence of Music Genres on Children's Emotions,"Qian Q, Chen X.",Comput Intell Neurosci. 2022 Jul 19;2022:4957085. doi: 10.1155/2022/4957085. eCollection 2022.,Qian Q,Comput Intell Neurosci,2022,2022/08/01,PMC9325589,,10.1155/2022/4957085
